,Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air,kluster
1073,378,2019-03-03,jakarta timur,"jakarta timur, kel. cipinang melayu",3,0,10,0
1074,379,2019-03-06,jakarta timur,"jakarta timur, kel. rawa terate",5,0,20,0
1075,380,2019-03-25,jakarta timur,"jakarta timur, kel. jatinegara",8,0,20,0
1076,381,2019-03-31,jakarta timur,"jakarta timur, kel. kalisari",9,0,50,0
1077,382,2019-03-31,jakarta timur,"jakarta timur, kel. ciracas",9,0,50,0
1078,383,2019-04-20,jakarta utara,"jakarta utara, kel. kamal muara ",4,0,10,0
1079,384,2019-04-22,jakarta utara,"jakarta utara, kel. kamal muara ",4,0,10,0
1080,385,2019-04-02,jakarta barat,"jakarta barat, kel. cengkareng barat",9,0,50,0
1081,385,2019-04-02,jakarta barat,"jakarta barat, kel. cengkareng barat",10,0,50,0
1082,385,2019-04-02,jakarta barat,"jakarta barat, kel. cengkareng barat",14,0,50,0
1083,386,2019-04-28,jakarta barat,"jakarta barat, kel. rawa buaya",2,0,80,0
1084,386,2019-04-28,jakarta barat,"jakarta barat, kel. rawa buaya",4,0,80,0
1085,387,2019-04-08,jakarta barat,"jakarta barat, kel. kedoya selatan",5,0,30,0
1086,388,2019-04-27,jakarta barat,"jakarta barat, kel. kedoya selatan",5,0,30,0
1087,389,2019-04-27,jakarta barat,"jakarta barat, kel. kembangan utara",1,138,110,0
1088,389,2019-04-27,jakarta barat,"jakarta barat, kel. kembangan utara",4,138,110,0
1089,390,2019-04-27,jakarta barat,"jakarta barat, kel. kembangan selatan",9,0,20,0
1090,391,2019-04-02,jakarta selatan,"jakarta selatan, kel. petogogan",2,0,40,0
1091,391,2019-04-02,jakarta selatan,"jakarta selatan, kel. petogogan",3,0,40,0
1092,392,2019-04-27,jakarta selatan,"jakarta selatan, kel. petogogan",2,0,40,0
1093,392,2019-04-27,jakarta selatan,"jakarta selatan, kel. petogogan",3,0,40,0
1094,393,2019-04-27,jakarta selatan,"jakarta selatan, kel. cipete utara",6,0,90,0
1095,394,2019-04-02,jakarta selatan,"jakarta selatan, kel. jati padang",2,0,50,0
1096,394,2019-04-02,jakarta selatan,"jakarta selatan, kel. jati padang",3,0,50,0
1097,394,2019-04-02,jakarta selatan,"jakarta selatan, kel. jati padang",4,0,50,0
1098,394,2019-04-02,jakarta selatan,"jakarta selatan, kel. jati padang",5,0,50,0
1099,394,2019-04-02,jakarta selatan,"jakarta selatan, kel. jati padang",6,0,50,0
1100,395,2019-04-16,jakarta selatan,"jakarta selatan, kel. jati padang",2,0,50,0
1101,395,2019-04-16,jakarta selatan,"jakarta selatan, kel. jati padang",3,0,50,0
1102,395,2019-04-16,jakarta selatan,"jakarta selatan, kel. jati padang",4,0,50,0
1103,395,2019-04-16,jakarta selatan,"jakarta selatan, kel. jati padang",5,0,50,0
1104,395,2019-04-16,jakarta selatan,"jakarta selatan, kel. jati padang",6,0,50,0
1105,396,2019-04-30,jakarta selatan,"jakarta selatan, kel. jati padang",2,0,50,0
1106,396,2019-04-30,jakarta selatan,"jakarta selatan, kel. jati padang",3,0,50,0
1107,396,2019-04-30,jakarta selatan,"jakarta selatan, kel. jati padang",4,0,50,0
1108,396,2019-04-30,jakarta selatan,"jakarta selatan, kel. jati padang",5,0,50,0
1109,396,2019-04-30,jakarta selatan,"jakarta selatan, kel. jati padang",6,0,50,0
1110,397,2019-04-24,jakarta selatan,"jakarta selatan, kel. pejaten timur",5,875,220,0
1111,397,2019-04-24,jakarta selatan,"jakarta selatan, kel. pejaten timur",6,875,220,0
1112,397,2019-04-24,jakarta selatan,"jakarta selatan, kel. pejaten timur",7,875,220,0
1113,397,2019-04-24,jakarta selatan,"jakarta selatan, kel. pejaten timur",8,875,220,0
1114,398,2019-04-26,jakarta selatan,"jakarta selatan, kel. pejaten timur",5,875,220,0
1115,398,2019-04-26,jakarta selatan,"jakarta selatan, kel. pejaten timur",6,875,220,0
1116,398,2019-04-26,jakarta selatan,"jakarta selatan, kel. pejaten timur",7,875,220,0
1117,398,2019-04-26,jakarta selatan,"jakarta selatan, kel. pejaten timur",8,875,220,0
1118,399,2019-04-27,jakarta selatan,"jakarta selatan, kel. pejaten timur",5,875,220,0
1119,399,2019-04-27,jakarta selatan,"jakarta selatan, kel. pejaten timur",6,875,220,0
1120,399,2019-04-27,jakarta selatan,"jakarta selatan, kel. pejaten timur",7,875,220,0
